FIPS,STNAME,CTYNAME,TOTAL,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,NHWA_MALE,NHWA_FEMALE,NHWhite_Alone,Not_NHWhite_Alone,MinorityMinority,MinorityPCT,Black,BlackPCT,Hispanic,HispanicPCT
12089,Florida,Nassau County,6738,36759,37870,33331,34139,32154,33019,65173,9456,No,12.67%,4939,7%,2696,3.61%
12091,Florida,Okaloosa County,2722,96162,93921,79638,76822,72859,70768,143627,46456,No,24.44%,18678,10%,15378,8.09%
12093,Florida,Okeechobee County,311,21108,18359,18039,16378,12639,12499,25138,14329,No,36.31%,3569,9%,9825,24.89%
12095,Florida,Orange County,2316,591772,610462,417799,420992,270301,268776,539077,663157,Yes,55.16%,262499,22%,339202,28.21%
12097,Florida,Osceola County,264,141564,145852,114009,117273,54566,55319,109885,177531,Yes,61.77%,37298,13%,137251,47.75%
12099,Florida,Palm Beach County,4636,657259,699286,506279,536609,381856,414381,796237,560308,No,41.30%,246973,18%,272389,20.08%
12101,Florida,Pasco County,11717,228769,241622,206102,217861,179684,190905,370589,99802,No,21.22%,24545,5%,59063,12.56%
12103,Florida,Pinellas County,226,442316,479003,371018,399448,336669,364635,701304,220015,No,23.88%,99137,11%,78368,8.51%
12105,Florida,Polk County,1573,302111,314047,242101,250962,189363,200983,390346,225812,No,36.65%,95980,16%,114459,18.58%
12107,Florida,Putnam County,1629,36223,37040,29304,29567,26040,26600,52640,20623,No,28.15%,12227,17%,6940,9.47%
12109,Florida,St. Johns County,1535,98266,103922,88389,93347,83378,88004,171382,30806,No,15.24%,11594,6%,11477,5.68%
12111,Florida,St. Lucie County,1894,138389,145477,105632,109439,83480,88059,171539,112327,No,39.57%,56369,20%,48651,17.14%
12113,Florida,Santa Rosa County,1164,80845,77667,69844,68871,66417,65797,132214,26298,No,16.59%,10273,6%,7776,4.91%
12115,Florida,Sarasota County,665,184305,201842,169301,185348,154181,170816,324997,61150,No,15.84%,19243,5%,32570,8.43%
12117,Florida,Seminole County,318,208591,222247,170609,180266,136858,143894,280752,150086,No,34.84%,50770,12%,78569,18.24%
12119,Florida,Sumter County,6718,52205,49415,44774,45603,41509,43648,85157,16463,No,16.20%,9156,9%,5870,5.78%
12121,Florida,Suwannee County,4049,22891,20765,18872,17728,16761,16215,32976,10680,No,24.46%,5850,13%,3996,9.15%
12123,Florida,Taylor County,740,12846,9898,9409,7835,8766,7675,16441,6303,No,27.71%,4767,21%,898,3.95%
12125,Florida,Union County,106,9858,5354,6906,4546,6408,4362,10770,4442,No,29.20%,3455,23%,790,5.19%
12127,Florida,Volusia County,207,242099,254851,206263,216033,180519,189721,370240,126710,No,25.50%,54706,11%,58790,11.83%
12129,Florida,Wakulla County,271,16874,13944,13328,12011,12737,11656,24393,6425,No,20.85%,4545,15%,1121,3.64%
12131,Florida,Walton County,97,29419,28163,26091,25485,24451,24141,48592,8990,No,15.61%,3451,6%,3416,5.93%
12133,Florida,Washington County,63,13631,11261,10598,9401,10161,9155,19316,5576,No,22.40%,3896,16%,822,3.30%
,,,85,,,,,,,,,,,,,,
,,,88,,,,,,,,,,,,,,
,,,454,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,
,,,1045,,,,,,,,,,,,,,
,,,14596,,,,,,,,,,,,,,
,,,307,,,,,,,,,,,,,,
,,,837,,,,,,,,,,,,,,
,,,581,,,,,,,,,,,,,,
,,,53,,,,,,,,,,,,,,
,,,30,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,
,,,4551,,,,,,,,,,,,,,
,,,1762,,,,,,,,,,,,,,
,,,485,,,,,,,,,,,,,,
,,,55,,,,,,,,,,,,,,
,,,124,,,,,,,,,,,,,,
,,,3552,,,,,,,,,,,,,,
,,,3901,,,,,,,,,,,,,,
,,,804,,,,,,,,,,,,,,
,,,12277,,,,,,,,,,,,,,
,,,603,,,,,,,,,,,,,,
,,,519,,,,,,,,,,,,,,
,,,2425,,,,,,,,,,,,,,
,,,754,,,,,,,,,,,,,,
,,,7076,,,,,,,,,,,,,,
,,,2183,,,,,,,,,,,,,,
,,,7944,,,,,,,,,,,,,,
,,,5608,,,,,,,,,,,,,,
,,,9342,,,,,,,,,,,,,,
,,,7387,,,,,,,,,,,,,,
,,,1143,,,,,,,,,,,,,,
,,,1563,,,,,,,,,,,,,,
,,,2516,,,,,,,,,,,,,,
,,,2343,,,,,,,,,,,,,,
,,,1298,,,,,,,,,,,,,,
,,,2559,,,,,,,,,,,,,,
,,,557,,,,,,,,,,,,,,
,,,417,,,,,,,,,,,,,,
,,,349,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,
,,,4673,,,,,,,,,,,,,,
,,,234,,,,,,,,,,,,,,
,,,1006,,,,,,,,,,,,,,
,,,231,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
