Category,Regions,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2019,TOTAL
5,Escambia,7594,6466,5748,6196,5134,4705,7045,6538,5189,5013,650,60278
5,Flagler,1683,1520,1373,970,623,966,1331,1159,1349,1131,166,12271
5,Franklin,195,112,49,88,97,69,89,107,115,86,28,1035
5,Gadsden,365,453,385,240,209,163,255,300,275,308,43,2996
5,Gilchrist,287,384,356,309,520,593,624,614,724,639,20,5070
5,Glades,134,129,136,40,54,151,181,80,115,211,9,1240
5,Gulf,126,145,65,65,75,82,44,91,115,108,8,924
5,Hamilton,2,27,31,21,17,4,3,16,28,29,0,178
5,Hardee,484,411,479,374,341,385,297,295,367,344,51,3828
5,Hendry,946,1018,620,534,483,363,483,416,493,725,58,6139
5,Hernando,4773,4306,4452,2964,2667,2969,2865,2468,2442,2376,414,32696
5,Highlands,3079,1401,1135,1323,870,1026,1064,1151,1035,1359,278,13721
5,Hillsborough,29498,28897,25682,22566,20839,20969,23581,22303,21787,23562,2453,242137
5,Holmes,2,9,23,75,240,323,309,337,546,554,2,2420
5,Indian River,1783,1504,1617,1727,1525,1317,1564,1762,1459,1379,138,15775
5,Jackson,1148,1230,1432,1084,773,801,680,723,741,813,101,9526
5,Jefferson,164,45,39,43,59,79,163,143,109,226,15,1085
5,Lafayette,105,24,62,22,20,37,6,10,6,33,9,334
5,Lake,2419,2456,2635,2578,2700,3167,3064,2481,2515,2788,189,26992
5,Lee,10221,10873,9678,9058,8207,6365,5574,4680,4653,5659,819,75787
5,Leon,3154,2820,2623,2496,2174,1893,2426,2486,2203,2828,263,25366
5,Levy,945,589,703,372,161,109,97,204,223,125,93,3621
5,Liberty,109,126,85,88,41,40,72,53,94,171,9,888
5,Madison,195,206,174,73,111,117,146,163,208,166,12,1571
5,Manatee,8234,8319,7963,6079,4135,3788,3985,4396,4406,4276,672,56253
5,Marion,7942,7255,5968,4872,3789,3673,4742,4345,4759,4841,705,52891
5,Martin,1162,1045,995,1220,945,831,968,1291,1321,1183,105,11066
5,Miami-Dade,20237,21479,21254,24925,24122,19320,19930,19207,18593,21275,1513,211855
5,Monroe,1042,1040,1064,1134,1228,955,789,955,1024,1324,84,10639
5,Nassau,898,889,942,705,708,467,422,569,368,505,80,6553
5,Okaloosa,4027,4113,4201,4264,3459,3138,3411,3610,3294,3057,345,36919
5,Okeechobee,1649,1459,1100,1012,874,703,862,929,915,976,116,10595
5,Orange,13197,11953,10800,10875,8822,7897,8420,8714,10267,10046,1195,102186
5,Osceola,2684,3154,3742,4312,4696,5036,6220,6129,5678,6265,224,48140
5,Palm Beach,12538,12182,13254,14057,13232,11524,10725,10707,10525,12605,1054,122403
5,Pasco,10475,10172,8663,8461,8245,8504,9162,7333,7079,7338,858,86290
5,Pinellas,16381,15320,13155,11929,11406,14173,15859,15029,14859,15923,1448,145482
5,Polk,12240,13758,12514,10957,10843,10931,11359,11658,9892,9118,987,114257
5,Putnam,2906,2596,2542,2067,867,1160,1711,1418,939,847,237,17290
5,Santa Rosa,3213,3093,3130,2887,2519,2153,2642,2049,1946,2708,276,26616
5,Sarasota,3909,4131,3684,3001,3402,4139,5118,4821,3875,3486,292,39858
5,Seminole,4774,4754,5025,4508,3192,2706,2791,3074,2626,2812,371,36633
5,St. Johns,2176,2322,2392,2010,1227,1212,1713,1940,1657,1219,190,18058
5,St. Lucie,4039,3899,4168,5034,4859,4457,3974,4238,4042,3749,357,42816
5,Sumter,1654,1627,1145,503,338,380,520,672,475,515,141,7970
5,Suwannee,750,879,840,673,570,621,539,332,136,280,66,5686
5,Taylor,722,653,477,520,699,521,502,511,647,572,56,5880
5,Union,258,316,106,118,85,118,70,42,39,163,20,1335
5,Volusia,9297,9323,9867,7720,6352,7556,8782,8688,7748,7207,812,83352
5,Wakulla,234,267,261,238,196,183,122,150,237,378,19,2285
5,Walton,2047,2284,2231,1491,1185,1201,1426,1297,1035,943,199,15339
5,Washington,481,596,506,373,410,398,367,448,463,580,36,4658
